Rank,English Title,Japanese Title,Link
82,Hi no Tori (1967),火の鳥,https://myanimelist.net/manga/1325/Hi_no_Tori_1967
83,Kamisama Hajimemashita,神様はじめました,https://myanimelist.net/manga/8157/Kamisama_Hajimemashita
84,Rurouni Kenshin: Meiji Kenkaku Romantan,るろうに剣心 -明治剣客浪漫譚-,https://myanimelist.net/manga/22/Rurouni_Kenshin__Meiji_Kenkaku_Romantan
85,Fruits Basket,フルーツバスケット,https://myanimelist.net/manga/102/Fruits_Basket
86,Ping Pong,ピンポン,https://myanimelist.net/manga/5744/Ping_Pong
87,One Outs,ONE OUTS,https://myanimelist.net/manga/11327/One_Outs
88,Sasaki to Miyano,佐々木と宮野,https://myanimelist.net/manga/101396/Sasaki_to_Miyano
89,Hirayasumi,ひらやすみ,https://myanimelist.net/manga/137303/Hirayasumi
90,Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch,うみねこのなく頃に散 - Episode 5: End of the Golden Witch,https://myanimelist.net/manga/21498/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_5__End_of_the_Golden_Witch
91,Ouran Koukou Host Club,桜蘭高校ホスト部,https://myanimelist.net/manga/30/Ouran_Koukou_Host_Club
92,Kidou Senshi Gundam: The Origin,機動戦士ガンダム THE ORIGIN,https://myanimelist.net/manga/214/Kidou_Senshi_Gundam__The_Origin
93,Kakukaku Shikajika,かくかくしかじか,https://myanimelist.net/manga/44307/Kakukaku_Shikajika
94,Sakamichi no Apollon,坂道のアポロン,https://myanimelist.net/manga/28393/Sakamichi_no_Apollon
95,Given,ギヴン,https://myanimelist.net/manga/79085/Given
96,Blue Giant,BLUE GIANT,https://myanimelist.net/manga/85719/Blue_Giant
97,Watashitachi no Shiawase na Jikan,私たちの幸せな時間,https://myanimelist.net/manga/11734/Watashitachi_no_Shiawase_na_Jikan
98,Bakemonogatari,化物語,https://myanimelist.net/manga/113010/Bakemonogatari
99,Yubisaki to Renren,ゆびさきと恋々,https://myanimelist.net/manga/121504/Yubisaki_to_Renren
100,Kimi no Suizou wo Tabetai,君の膵臓をたべたい,https://myanimelist.net/manga/104538/Kimi_no_Suizou_wo_Tabetai
101,Spirit Circle,スピリットサークル,https://myanimelist.net/manga/38071/Spirit_Circle
102,Bungou Stray Dogs,文豪ストレイドッグス,https://myanimelist.net/manga/56529/Bungou_Stray_Dogs
103,Shimeji Simulation,シメジ シミュレーション,https://myanimelist.net/manga/117851/Shimeji_Simulation
104,Spy x Family,SPY×FAMILY,https://myanimelist.net/manga/119161/Spy_x_Family
105,Blue Lock,ブルーロック,https://myanimelist.net/manga/114745/Blue_Lock
106,Uma Musume Cinderella Gray,ウマ娘 シンデレラグレイ,https://myanimelist.net/manga/133431/Uma_Musume_Cinderella_Gray
107,JoJo no Kimyou na Bouken Part 8: JoJolion,ジョジョの奇妙な冒険 Part8 ジョジョリオン,https://myanimelist.net/manga/25515/JoJo_no_Kimyou_na_Bouken_Part_8__JoJolion
